date,open,close
2011-04-25,31.5400,31.5400
2011-04-26,31.4300,31.4000
2011-04-27,31.4100,31.2600
2011-04-28,32.2700,31.3000
2011-04-29,31.2200,31.1000
2011-05-02,31.6500,31.6800
2011-05-03,30.7500,30.6800
2011-05-04,30.7000,30.4600
2011-05-05,30.4600,30.4600
2011-05-06,30.4100,30.3800
2011-05-09,30.1800,30.1800
2011-05-10,30.3400,30.2300
2011-05-11,30.4500,30.4500
2011-05-12,29.9100,30.1700
2011-05-13,29.7900,29.1600
2011-05-16,29.5940,29.5940
2011-05-17,29.5200,29.2600
2011-05-18,30.2900,30.2900
2011-05-19,30.2900,30.2900
2011-05-20,30.2900,30.2900
2011-05-23,28.6900,28.7000
2011-05-24,28.7000,28.7000
2011-05-25,28.6600,28.6600
2011-05-26,29.3600,29.3600
2011-05-27,29.7300,29.6800
2011-05-31,30.6400,30.7500
2011-06-01,30.5600,30.5600
2011-06-02,30.6000,30.5712
2011-06-03,30.5200,30.7299
2011-06-06,30.3820,30.3400
2011-06-07,30.2700,30.3000
2011-06-08,30.3000,30.3000
2011-06-09,30.2200,30.2200
2011-06-10,30.2200,30.2200
2011-06-13,30.2200,30.2200
2011-06-14,30.2200,30.2200
2011-06-15,29.5500,29.5500
2011-06-16,29.5500,29.5500
2011-06-17,29.5500,29.5500
2011-06-20,29.5500,29.5500
2011-06-21,29.5500,29.5500
2011-06-22,29.5500,29.5500
2011-06-23,29.2700,29.3200
2011-06-24,29.8000,29.7600
2011-06-27,29.7600,29.7600
2011-06-28,30.0700,29.8500
2011-06-29,29.8500,29.8500
2011-06-30,31.1300,31.0520
2011-07-01,31.5400,31.5400
2011-07-05,31.2400,31.2400
2011-07-06,31.1000,31.0500
2011-07-07,31.3000,31.9200
2011-07-08,31.9200,31.9200
2011-07-11,31.9200,31.9200
2011-07-12,31.9200,31.9200
2011-07-13,31.5400,31.5400
2011-07-14,31.5400,31.5400
2011-07-15,31.5200,31.4700
2011-07-18,31.4700,31.4700
2011-07-19,31.4700,31.4700
2011-07-20,31.4700,31.4700
2011-07-21,31.6480,31.6480
2011-07-22,31.6480,31.6480
2011-07-25,31.6480,31.6480
2011-07-26,31.6480,31.6480
2011-07-27,31.6480,31.6480
2011-07-28,31.6400,31.6400
2011-07-29,30.7500,31.3800
2011-08-01,31.3800,31.3800
2011-08-02,30.8900,30.8900
2011-08-03,30.8900,30.8900
2011-08-04,29.0000,28.2900
2011-08-05,28.3400,27.2000
2011-08-08,26.0000,25.2800
2011-08-09,25.3400,25.3400
2011-08-10,25.3300,24.7400
2011-08-11,26.4500,25.7700
2011-08-12,25.9800,26.3500
2011-08-15,26.8700,26.8600
2011-08-16,26.7000,26.7000
2011-08-17,27.2600,27.2400
2011-08-18,26.2000,26.1700
2011-08-19,26.1700,26.1700
2011-08-22,24.5700,24.5700
2011-08-23,25.4500,25.4501
2011-08-24,25.6500,25.6500
2011-08-25,25.0600,25.0600
2011-08-26,25.0600,25.0600
2011-08-29,25.0600,25.0600
2011-08-30,25.0600,25.0600
2011-08-31,27.3100,27.1800
2011-09-01,27.0800,27.0800
2011-09-02,26.7200,26.6000
2011-09-06,25.7000,24.9800
2011-09-07,26.9100,26.9100
2011-09-08,26.4300,26.3240
2011-09-09,26.3240,26.3240
2011-09-12,24.9500,24.6100
2011-09-13,24.6100,24.6100
2011-09-14,24.6100,24.6100
2011-09-15,24.6100,24.6100
2011-09-16,24.6100,24.6100
2011-09-19,24.2500,24.9000
2011-09-20,24.8700,24.4900
2011-09-21,23.6500,24.0000
2011-09-22,21.8700,21.6700
2011-09-23,21.8900,22.1700
2011-09-26,22.1700,22.1700
2011-09-27,22.1700,22.1700
2011-09-28,22.1700,22.1700
2011-09-29,22.7900,22.3000
2011-09-30,22.3000,22.3000
2011-10-03,22.3000,22.3000
2011-10-04,20.7500,20.7500
2011-10-05,20.7500,20.7500
2011-10-06,20.7500,20.7500
2011-10-07,20.7500,20.7500
2011-10-10,20.7500,20.7500
2011-10-11,20.7500,20.7500
2011-10-12,23.5400,23.9240
2011-10-13,23.5600,23.6400
2011-10-14,23.6400,23.6400
2011-10-17,23.6400,23.6400
2011-10-18,24.5300,24.7899
2011-10-19,24.7899,24.7899
2011-10-20,23.8100,23.8100
2011-10-21,23.8100,23.8100
2011-10-24,23.8100,23.8100
2011-10-25,23.8100,23.8100
2011-10-26,25.0800,25.0800
2011-10-27,26.5800,26.5800
2011-10-28,26.1600,26.0500
2011-10-31,25.1900,25.1900
2011-11-01,25.1900,25.1900
2011-11-02,24.9200,24.9200
2011-11-03,25.2440,24.9100
2011-11-04,24.9100,24.9100
2011-11-07,24.9100,24.9100
2011-11-08,24.9100,24.9100
2011-11-09,24.8100,23.7140
2011-11-10,23.5000,23.5000
2011-11-11,23.5000,23.5000
2011-11-14,23.5000,23.5000
2011-11-15,23.5000,23.5000
2011-11-16,23.5000,23.5000
2011-11-17,23.9200,23.9200
2011-11-18,23.9200,23.9200
2011-11-21,23.0200,22.8400
2011-11-22,23.5200,23.5200
2011-11-23,22.7000,22.6500
2011-11-25,22.3100,22.2100
2011-11-28,22.2100,22.2100
2011-11-29,23.7200,23.8100
2011-11-30,24.5700,24.4700
2011-12-01,24.8100,24.8100
2011-12-02,24.6700,24.6700
