date,open,close
2018-10-19,8.5000,8.6500
2018-10-22,8.7000,8.3000
2018-10-23,7.9000,7.7000
2018-10-24,7.8700,7.2000
2018-10-25,7.1600,6.5600
2018-10-26,6.5100,7.4800
2018-10-29,7.4300,7.2300
2018-10-30,7.2100,6.9900
2018-10-31,7.2000,7.7300
2018-11-01,7.7000,8.2000
2018-11-02,8.3100,9.2000
2018-11-05,8.8000,8.6400
2018-11-06,8.6100,9.0900
2018-11-07,9.1800,8.9100
2018-11-08,8.8800,9.1200
2018-11-09,9.1000,8.7100
2018-11-12,8.5500,8.2000
2018-11-13,8.4000,8.3100
2018-11-14,8.1600,8.3300
2018-11-15,8.3000,8.1300
2018-11-16,7.8800,7.7500
2018-11-19,7.7700,7.6800
2018-11-20,7.9500,7.8100
2018-11-21,7.8100,8.1300
2018-11-23,8.2200,8.1500
2018-11-26,8.2000,8.1200
2018-11-27,8.0500,7.8000
2018-11-28,7.8800,8.0000
2018-11-29,8.4900,8.1500
2018-11-30,7.9800,8.0100
2018-12-03,8.1600,8.2000
2018-12-04,8.2000,8.0000
2018-12-06,7.7800,7.8500
2018-12-07,7.6800,7.6700
2018-12-10,7.5600,7.1300
2018-12-11,7.1400,7.1500
2018-12-12,7.2300,7.0000
2018-12-13,7.0100,7.0100
2018-12-14,7.1400,7.1300
2018-12-17,7.1400,7.0200
2018-12-18,7.0000,6.9100
2018-12-19,6.9000,6.5100
2018-12-20,6.6000,6.4900
2018-12-21,6.2100,6.6800
2018-12-24,6.6800,6.4300
2018-12-26,6.4600,6.3900
2018-12-27,6.4500,6.1200
2018-12-28,6.2900,6.8100
2018-12-31,6.9500,7.0000
2019-01-02,6.9500,7.0100
2019-01-03,6.9900,6.8100
2019-01-04,6.8600,6.9100
2019-01-07,6.9600,6.9700
2019-01-08,6.9800,7.0200
2019-01-09,7.0000,7.1000
2019-01-10,7.1000,7.3300
2019-01-11,7.6900,7.7400
2019-01-14,7.8500,7.9100
2019-01-15,7.8800,7.8500
2019-01-16,7.8500,7.8500
2019-01-17,7.8000,7.8600
2019-01-18,7.8000,7.8312
2019-01-22,7.8300,7.7300
2019-01-23,7.7300,7.6350
2019-01-24,7.6000,7.5100
2019-01-25,7.5600,7.6100
2019-01-28,7.5100,7.5400
2019-01-29,7.6200,7.5700
2019-01-30,7.6600,7.5600
2019-01-31,7.4900,7.5300
2019-02-01,7.5500,7.7650
2019-02-04,7.8000,8.0000
2019-02-05,7.9900,8.1400
2019-02-06,8.0500,7.8000
2019-02-07,7.8000,7.6500
2019-02-08,7.6500,7.6500
2019-02-11,7.7700,7.5600
2019-02-12,7.5200,7.6200
2019-02-13,7.5800,7.6700
2019-02-14,7.5300,7.4300
2019-02-15,7.5000,7.5500
2019-02-19,7.6500,7.5150
2019-02-20,7.5400,7.6500
2019-02-21,7.5578,7.5400
2019-02-22,7.5400,7.5900
2019-02-25,7.6800,8.3600
2019-02-26,8.6000,8.1800
2019-02-27,8.1800,8.4100
2019-02-28,8.4500,8.2800
2019-03-01,8.3525,8.1800
2019-03-04,8.3300,8.0600
2019-03-05,8.1700,8.3300
2019-03-06,8.2300,8.1700
2019-03-07,8.0749,7.5800
2019-03-08,7.4200,7.2400
2019-03-11,7.2200,7.2000
2019-03-12,7.2000,7.3000
2019-03-13,7.2500,7.8000
2019-03-14,7.9000,8.2500
2019-03-15,8.4100,8.1500
2019-03-18,8.0000,8.1800
2019-03-19,8.3400,7.9000
2019-03-20,7.9900,8.1800
2019-03-21,8.1900,7.9700
2019-03-22,8.0000,7.8900
2019-03-25,7.7900,7.9300
2019-03-26,7.9605,7.9900
2019-03-27,8.0500,8.1000
2019-03-28,7.9500,8.1800
2019-03-29,8.3100,8.1100
2019-04-01,8.2473,8.3400
2019-04-02,8.2600,9.0600
2019-04-03,9.2000,9.5000
2019-04-04,9.5200,9.7000
2019-04-05,9.8600,10.5500
2019-04-08,10.9000,13.4400
2019-04-09,13.1500,12.4700
2019-04-10,11.2600,11.9900
2019-04-11,12.1100,11.8500
2019-04-12,11.9700,11.7600
2019-04-15,12.0000,10.8500
2019-04-16,10.9000,10.5000
2019-04-17,10.8200,11.4900
2019-04-18,11.6100,9.3000
2019-04-22,9.5500,9.2000
2019-04-23,9.3200,9.8800
2019-04-24,9.8800,10.5100
2019-04-25,10.6400,9.9800
2019-04-26,10.1500,9.6700
2019-04-29,9.4100,9.3000
2019-04-30,9.3100,8.6100
2019-05-01,8.7500,8.6000
2019-05-02,8.6600,8.7900
2019-05-03,8.8700,8.7900
2019-05-06,8.7200,8.9300
2019-05-07,9.4300,8.9300
2019-05-08,9.0000,8.3100
2019-05-09,8.3000,8.4400
2019-05-10,8.4500,8.5600
2019-05-13,8.6600,8.8600
2019-05-14,9.0300,8.5600
2019-05-15,8.5100,9.0000
2019-05-16,8.9100,8.7600
2019-05-17,8.5600,8.3800
2019-05-20,8.2000,8.5400
2019-05-21,8.5000,8.5600
2019-05-22,8.5200,8.2800
2019-05-23,8.2900,7.8400
2019-05-24,7.9400,7.8000
2019-05-28,7.8900,7.6400
2019-05-29,7.6300,7.6600
2019-05-30,7.5700,7.6300
2019-05-31,7.6000,7.5800
2019-06-03,7.3800,7.2000
2019-06-04,7.2000,7.1200
2019-06-05,7.2100,7.1300
2019-06-06,7.0500,6.7600
2019-06-07,6.7800,6.7600
2019-06-10,7.0500,6.6300
2019-06-11,6.4600,6.4400
